Model,Year,Motor Type,Mileage,Color,Body Type,Price,Motor Volume,Transmission Type,Transmission Speeds,date,Manuf,Model Short
Citroen C4 Picasso,2010.0,Dīzelis,,Melna,Minivens,3890.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5 Tourer,2012.0,Dīzelis,231879.0,Balta,Universāls,4900.0,2.2,Automāts,6.0,2024-10-13,Citroen,C5 Tourer
Citroen C4,2007.0,Dīzelis,226850.0,Melnametālika,Kupeja,990.0,2.0,Manuāla,,2024-10-13,Citroen,C4
Citroen C4 Picasso,2017.0,Dīzelis,180000.0,Pelēkametālika,Minivens,9990.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2011.0,Dīzelis,307000.0,Sudrabametālika,Minivens,2600.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C5,2009.0,Dīzelis,,Pelēkametālika,Sedans,1490.0,2.0,Automāts,,2024-10-13,Citroen,C5
Citroen Jumpy,2018.0,Dīzelis,225434.0,Balta,Mikroautobuss,10700.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen Jumpy,2009.0,Dīzelis,392000.0,Balta,Mikroautobuss,2000.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen Berlingo,2007.0,Benzīns/gāze,240152.0,Balta,Universāls,350.0,1.4,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C5 Aircross,2024.0,Dīzelis,10000.0,Zilametālika,Apvidus,29000.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C3,2019.0,Benzīns,39033.0,Melna,Hečbeks,10250.0,1.2,Manuāla,7.0,2024-10-13,Citroen,C3
Citroen C4,2005.0,Dīzelis,247530.0,Gaiši,Hečbeks,1500.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen Jumper,2009.0,Dīzelis,189000.0,Balta,Pikaps,3900.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Nemo,2008.0,Dīzelis,,Dzeltena,Universāls,950.0,1.4,Manuāla,5.0,2024-10-13,Citroen,Nemo
Citroen C3,2008.0,Dīzelis,,Sudraba,Hečbeks,450.0,1.6,Manuāla,,2024-10-13,Citroen,C3
Citroen DS,2012.0,Dīzelis,,Sudrabametālika,Hečbeks,7890.0,2.0,Automāts,6.0,2024-10-13,Citroen,DS
Citroen C5,2005.0,Benzīns,313000.0,Pelēka,Hečbeks,450.0,2.0,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen C3,2016.0,Dīzelis,,Sarkanametālika,Hečbeks,7500.0,1.6,Manuāla,,2024-10-13,Citroen,C3
Citroen Berlingo,2018.0,Dīzelis,200430.0,Balta,Minivens,7200.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C3,2019.0,Benzīns,,Melnametālika,Hečbeks,10990.0,1.2,Automāts,,2024-10-13,Citroen,C3
Citroen Jumpy,2018.0,Dīzelis,77400.0,Sarkana,Mikroautobuss,27500.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen Berlingo,2013.0,Dīzelis,,Gaiši,-,3700.0,1.6,Automāts,,2024-10-13,Citroen,Berlingo
Citroen C-Crosser,2008.0,Dīzelis,205000.0,Sudrabametālika,Apvidus,3900.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen C4 Picasso,2008.0,Dīzelis,,Melna,Minivens,4200.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen DS,2012.0,Dīzelis,249724.0,Sudrabametālika,Hečbeks,4300.0,2.0,Manuāla,6.0,2024-10-13,Citroen,DS
Citroen Jumper,2019.0,Dīzelis,,Balta,-,11900.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C4 Picasso,2008.0,Dīzelis,320000.0,Sudraba,Minivens,1750.0,2.0,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen Jumpy,2018.0,Dīzelis,150000.0,Balta,Mikroautobuss,16000.0,2.0,Manuāla,,2024-10-13,Citroen,Jumpy
Citroen C4 Picasso,2017.0,Dīzelis,208000.0,Pelēkametālika,Minivens,12000.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C1,2014.0,Benzīns,,Melnametālika,Hečbeks,4700.0,1.0,Manuāla,5.0,2024-10-13,Citroen,C1
Citroen Berlingo,2010.0,Dīzelis,345600.0,Melna,Mikroautobuss,3250.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C8,2005.0,Dīzelis,410000.0,Sudraba,Minivens,1100.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C8
Citroen Jumpy,2018.0,Dīzelis,156256.0,Melna,Minivens,25289.0,2.0,Automāts,6.0,2024-10-13,Citroen,Jumpy
Citroen C4 Cactus,2019.0,Benzīns,110000.0,Balta,Hečbeks,9900.0,1.2,Automāts,6.0,2024-10-13,Citroen,C4 Cactus
Citroen C4,2024.0,Benzīns,10.0,Violetametālika,Hečbeks,25500.0,1.2,Automāts,8.0,2024-10-13,Citroen,C4
Citroen Berlingo,2024.0,Dīzelis,10.0,Zaļametālika,Minivens,32230.0,1.5,Automāts,8.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2024.0,Benzīns,10.0,Zaļa,Minivens,22400.0,1.2,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen C-Zero,2017.0,,,Balta,Hečbeks,7700.0,,Automāts,,2024-10-13,Citroen,C-Zero
Citroen C4,2012.0,Dīzelis,155744.0,Melnametālika,Hečbeks,5900.0,1.6,Automāts,,2024-10-13,Citroen,C4
Citroen Jumpy,2016.0,Dīzelis,304862.0,Balta,-,7500.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen C4,2007.0,Benzīns,185000.0,Sarkana,Hečbeks,2099.0,2.0,Manuāla,,2024-10-13,Citroen,C4
Citroen C5,2007.0,Dīzelis,455555.0,Pelēka,Pikaps,600.0,1.6,Automāts,5.0,2024-10-13,Citroen,C5
Citroen C5,2013.0,Dīzelis,240606.0,Melna,Universāls,5850.0,2.0,Manuāla,,2024-10-13,Citroen,C5
Citroen C5 Tourer,2009.0,Dīzelis,230000.0,Zilametālika,Universāls,4800.0,2.0,Automāts,6.0,2024-10-13,Citroen,C5 Tourer
Citroen C4 Picasso,2007.0,Benzīns/gāze,317000.0,Dzeltenametālika,Minivens,2250.0,2.0,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Jumper,2018.0,Dīzelis,,Balta,-,12100.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C4 Picasso,2010.0,Dīzelis,336000.0,Pelēka,Minivens,3600.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2009.0,Benzīns,186581.0,Melnametālika,Sedans,2400.0,2.0,Automāts,,2024-10-13,Citroen,C5
Citroen C4,2022.0,Dīzelis,35600.0,Pelēkametālika,Apvidus,20700.0,1.5,Automāts,8.0,2024-10-13,Citroen,C4
Citroen C3,2005.0,Benzīns,262000.0,Melna,Hečbeks,950.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen Jumper,2018.0,Dīzelis,,Melna,-,10700.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C4 Picasso,2014.0,Dīzelis,245929.0,Pelēka,Minivens,8500.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2010.0,Dīzelis,384000.0,Balta,Mikroautobuss,3000.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4,2024.0,Benzīns,10.0,Sarkanametālika,Hečbeks,25500.0,1.2,Automāts,8.0,2024-10-13,Citroen,C4
Citroen C4,2024.0,Hybrid,10.0,Balta,Hečbeks,30150.0,1.2,Automāts,8.0,2024-10-13,Citroen,C4
Citroen C3,2024.0,,10.0,Zilametālika,Hečbeks,29380.0,,Automāts,,2024-10-13,Citroen,C3
Citroen C4,2023.0,Benzīns,10.0,Balta,Sedans,28900.0,1.2,Automāts,8.0,2024-10-13,Citroen,C4
Citroen Berlingo,2024.0,Benzīns,10.0,Balta,Universāls,22170.0,1.2,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2024.0,Benzīns,10.0,Balta,Mikroautobuss,20500.0,1.2,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen C4,2024.0,Benzīns,10.0,Melnametālika,Hečbeks,25500.0,1.2,Automāts,8.0,2024-10-13,Citroen,C4
Citroen C3,2024.0,,10.0,Zilametālika,Hečbeks,24880.0,,Automāts,,2024-10-13,Citroen,C3
Citroen C4 Cactus,2015.0,Dīzelis,256000.0,Sudrabametālika,Hečbeks,6400.0,1.6,Automāts,,2024-10-13,Citroen,C4 Cactus
Citroen Jumpy,2015.0,Dīzelis,149705.0,Zila,Minivens,6890.0,2.0,Manuāla,,2024-10-13,Citroen,Jumpy
Citroen Jumpy,2020.0,Dīzelis,175000.0,Balta,Mikroautobuss,17900.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen DS,2014.0,Dīzelis,,Melna,Hečbeks,5500.0,1.6,Manuāla,6.0,2024-10-13,Citroen,DS
Citroen C4,2008.0,Benzīns,155000.0,Melnametālika,Hečbeks,2050.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen Berlingo,2019.0,Benzīns,104610.0,Pelēkametālika,Minivens,16000.0,1.2,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C5,2008.0,Dīzelis,,Pelēkametālika,Universāls,3990.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen C4 Picasso,2013.0,Dīzelis,156206.0,Pelēkametālika,Hečbeks,6200.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Jumpy,2021.0,,54696.0,Baltametālika,Mikroautobuss,21000.0,,Automāts,,2024-10-13,Citroen,Jumpy
Citroen C4,2018.0,Benzīns,106600.0,Melna,Hečbeks,11400.0,1.2,Manuāla,,2024-10-13,Citroen,C4
Citroen Berlingo,2024.0,Dīzelis,10.0,Baltametālika,Universāls,25300.0,1.5,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen Jumper,2015.0,Dīzelis,,Balta,Mikroautobuss,8591.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Melna,Apvidus,31440.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen Jumper,2024.0,Dīzelis,10.0,Balta,Minivens,730.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2010.0,Benzīns/gāze,,Balta,Universāls,550.0,1.4,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C5,2008.0,Dīzelis,237117.0,Melnametālika,Universāls,2950.0,2.2,Manuāla,,2024-10-13,Citroen,C5
Citroen Berlingo,2017.0,Benzīns/gāze,189000.0,Balta,Minivens,8700.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Jumper,2007.0,Dīzelis,124000.0,Dzeltena,Mikroautobuss,3500.0,2.2,Manuāla,,2024-10-13,Citroen,Jumper
Citroen C5 Tourer,2008.0,Dīzelis,320234.0,Sudrabametālika,Universāls,4950.0,2.7,Automāts,,2024-10-13,Citroen,C5 Tourer
Citroen C4 Picasso,2014.0,Dīzelis,260000.0,Baltametālika,Hečbeks,6900.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Jumper,2009.0,Dīzelis,153553.0,Baltametālika,Pikaps,10199.0,2.2,Manuāla,5.0,2024-10-13,Citroen,Jumper
Citroen C4 Aircross,2021.0,Benzīns,45000.0,Pelēkametālika,Hečbeks,16000.0,1.2,Automāts,6.0,2024-10-13,Citroen,C4 Aircross
Citroen C4 Cactus,2014.0,Benzīns,139861.0,Sarkanametālika,Hečbeks,6900.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C4 Cactus
Citroen C-Crosser,2009.0,Dīzelis,217058.0,Sudraba,Apvidus,3000.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen C5 Aircross,2019.0,Dīzelis,192000.0,Baltametālika,Apvidus,17990.0,2.0,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C4 Cactus,2016.0,Benzīns,,Pelēkametālika,Hečbeks,7990.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C4 Cactus
Citroen C2,2006.0,Dīzelis,255000.0,Melnametālika,Hečbeks,1100.0,1.4,Manuāla,,2024-10-13,Citroen,C2
Citroen Nemo,2009.0,Dīzelis,112000.0,Zila,Minivens,2550.0,1.4,Manuāla,5.0,2024-10-13,Citroen,Nemo
Citroen C2,2004.0,Benzīns,180419.0,Sarkana,Hečbeks,2000.0,1.6,Automāts,5.0,2024-10-13,Citroen,C2
Citroen C-Elysee,2018.0,Benzīns,,Pelēkametālika,Sedans,6500.0,1.2,Manuāla,,2024-10-13,Citroen,C-Elysee
Citroen Xsara Picasso,2000.0,Dīzelis,427436.0,Sudraba,Minivens,990.0,2.0,Manuāla,5.0,2024-10-13,Citroen,Xsara Picasso
Suzuki Citi,2008.0,Benzīns,58881.0,Sudraba,Hečbeks,2295.0,1.0,Manuāla,5.0,2024-10-13,Suzuki,Citi
Suzuki Vitara,2016.0,Benzīns,154779.0,Zaļametālika,Apvidus,9990.0,1.6,Manuāla,,2024-10-13,Suzuki,Vitara
Suzuki Grand Vitara,2005.0,Benzīns,197100.0,Melnametālika,Apvidus,2899.0,2.5,Automāts,5.0,2024-10-13,Suzuki,Grand Vitara
Suzuki SX4,2008.0,Benzīns,,Zaļa,Hečbeks,2850.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,SX4
Suzuki Swift,2000.0,Benzīns,,Pelēka,Kupeja,900.0,1.0,Manuāla,,2024-10-13,Suzuki,Swift
Suzuki Grand Vitara,,,,,,,,,,2024-10-13,Suzuki,Grand Vitara
Suzuki SX4,2018.0,Benzīns,143000.0,Melna,Hečbeks,14000.0,1.0,Manuāla,5.0,2024-10-13,Suzuki,SX4
Suzuki Grand Vitara,2008.0,Dīzelis,250000.0,Sudrabametālika,Apvidus,2500.0,1.9,Manuāla,,2024-10-13,Suzuki,Grand Vitara
Suzuki Grand Vitara,2007.0,Benzīns,247000.0,Pelēkametālika,Apvidus,3999.0,2.0,Automāts,,2024-10-13,Suzuki,Grand Vitara
Suzuki Vitara,2021.0,Hybrid,39524.0,Dzeltenametālika,Apvidus,17500.0,1.4,Automāts,,2024-10-13,Suzuki,Vitara
Suzuki Grand Vitara,2005.0,Benzīns,237450.0,Melnametālika,Apvidus,2950.0,2.0,Manuāla,5.0,2024-10-13,Suzuki,Grand Vitara
Suzuki Grand Vitara,2004.0,Benzīns,103000.0,Sudraba,Apvidus,2650.0,2.5,Automāts,,2024-10-13,Suzuki,Grand Vitara
Suzuki Jimny,2010.0,Dīzelis,,Zaļametālika,Apvidus,7990.0,1.5,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Grand Vitara,2007.0,Dīzelis,,Pelēkametālika,Apvidus,3350.0,1.9,Manuāla,,2024-10-13,Suzuki,Grand Vitara
Suzuki Citi,,,,,,,,,,2024-10-13,Suzuki,Citi
Suzuki Liana,2002.0,Benzīns,125500.0,Brūna,Sedans,998.0,1.6,Manuāla,,2024-10-13,Suzuki,Liana
Suzuki Jimni,2024.0,Benzīns,1200.0,Zilametālika,Apvidus,29000.0,1.5,Manuāla,5.0,2024-10-13,Suzuki,Jimni
Suzuki Swift,2020.0,Benzīns,57777.0,Zila,Hečbeks,14000.0,1.2,Automāts,,2024-10-13,Suzuki,Swift
Suzuki Grand Vitara,2005.0,Dīzelis,235300.0,Brūnametālika,Apvidus,3220.0,2.0,Manuāla,5.0,2024-10-13,Suzuki,Grand Vitara
Suzuki Liana,2001.0,Benzīns,264000.0,Zaļametālika,Hečbeks,390.0,1.6,Automāts,,2024-10-13,Suzuki,Liana
Suzuki SX4,2006.0,Dīzelis,280000.0,Pelēkametālika,Hečbeks,2900.0,1.9,Manuāla,,2024-10-13,Suzuki,SX4
Suzuki X-90,1998.0,Benzīns,227220.0,Sudrabametālika,Apvidus,2780.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,X-90
Suzuki Jimny,2024.0,Benzīns,5501.0,Dzeltenametālika,Apvidus,27900.0,1.5,Manuāla,5.0,2024-10-13,Suzuki,Jimny
Suzuki SX4,2010.0,Benzīns,285400.0,Melnametālika,Apvidus,3690.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,SX4
Suzuki Jimni,1986.0,Benzīns,66660.0,Pelēka,Hečbeks,1000.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Jimni
Suzuki Swift,2009.0,Benzīns,263000.0,Melna,Hečbeks,1900.0,1.3,Manuāla,,2024-10-13,Suzuki,Swift
Suzuki Swift,2019.0,Hybrid,74365.0,Sarkana,Hečbeks,12500.0,1.2,Manuāla,,2024-10-13,Suzuki,Swift
Suzuki Vitara,1994.0,Benzīns,205000.0,Melna,Apvidus,4400.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,Vitara
Suzuki Grand Vitara,2006.0,Dīzelis,,Pelēka,Apvidus,2650.0,1.9,Manuāla,5.0,2024-10-13,Suzuki,Grand Vitara
Suzuki SX4,2008.0,Benzīns,229000.0,Pelēka,Hečbeks,1980.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,SX4
Suzuki Vitara,2016.0,Dīzelis,,Melnametālika,Apvidus,11990.0,1.6,Manuāla,6.0,2024-10-13,Suzuki,Vitara
Suzuki Grand Vitara,2006.0,Benzīns,283013.0,Pelēka,Apvidus,2700.0,2.0,Manuāla,,2024-10-13,Suzuki,Grand Vitara
Suzuki Swift,2006.0,Benzīns,155000.0,Sarkana,-,2490.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Swift
Suzuki Liana,2005.0,Benzīns,254560.0,Tumši,Hečbeks,500.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,Liana
Suzuki Jimny,2010.0,Dīzelis,258066.0,Pelēkametālika,Apvidus,7100.0,1.5,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Citi,2023.0,Hybrid,7000.0,Pelēkametālika,Universāls,27990.0,1.5,Automāts,6.0,2024-10-13,Suzuki,Citi
Suzuki Jimny,2005.0,Benzīns,236158.0,Pelēkametālika,Apvidus,3100.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Jimny
Suzuki Jimny,2024.0,Benzīns,10.0,Zaļa,Apvidus,26000.0,1.5,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Jimny,2024.0,Benzīns,10.0,Melna,Apvidus,26000.0,1.5,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Jimny,2010.0,Benzīns,198645.0,Pelēkametālika,Apvidus,5980.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Jimny
Suzuki Jimny,2008.0,Benzīns,226542.0,Melna,Apvidus,5300.0,1.3,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Vitara,2020.0,Benzīns,76900.0,Melna,Apvidus,15900.0,1.4,Automāts,,2024-10-13,Suzuki,Vitara
Suzuki Swift,2015.0,Dīzelis,,Balta,Hečbeks,4990.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Swift
Suzuki SX4,2012.0,Benzīns,196200.0,Pelēka,Hečbeks,4450.0,1.6,Manuāla,5.0,2024-10-13,Suzuki,SX4
Suzuki Jimny,2002.0,Benzīns,205000.0,Zaļa,Apvidus,4500.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Jimny
Suzuki SX4,2009.0,Dīzelis,177100.0,Melnametālika,Hečbeks,4250.0,2.0,Manuāla,6.0,2024-10-13,Suzuki,SX4
Suzuki Grand Vitara,2002.0,Benzīns,399252.0,Sudrabametālika,Universāls,1200.0,2.7,Automāts,5.0,2024-10-13,Suzuki,Grand Vitara
Suzuki Ignis,2005.0,Benzīns,200000.0,Zilametālika,Apvidus,1500.0,1.3,Manuāla,5.0,2024-10-13,Suzuki,Ignis
Suzuki Grand Vitara,2008.0,Dīzelis,229455.0,Pelēkametālika,Apvidus,3550.0,1.9,Manuāla,6.0,2024-10-13,Suzuki,Grand Vitara
Suzuki Jimny,2017.0,Benzīns,135000.0,Zaļa,Apvidus,4950.0,1.3,Manuāla,,2024-10-13,Suzuki,Jimny
Suzuki Grand Vitara,2011.0,Dīzelis,202500.0,Pelēkametālika,Apvidus,6999.0,2.0,Manuāla,6.0,2024-10-13,Suzuki,Grand Vitara
Suzuki Jimny,2013.0,Benzīns,105021.0,Pelēka,Apvidus,12000.0,1.3,Automāts,,2024-10-13,Suzuki,Jimny
Suzuki Grand Vitara,2006.0,Dīzelis,283000.0,Sudraba,Apvidus,2950.0,1.9,Manuāla,,2024-10-13,Suzuki,Grand Vitara
Suzuki Ignis,2004.0,Benzīns,116705.0,Pelēka,Hečbeks,2700.0,1.3,Manuāla,,2024-10-13,Suzuki,Ignis
Suzuki Vitara,2022.0,Hybrid,35000.0,Melna,Apvidus,16900.0,1.4,Manuāla,6.0,2024-10-13,Suzuki,Vitara
Suzuki Vitara,2018.0,Benzīns,75000.0,Balta,Apvidus,16950.0,1.6,Automāts,6.0,2024-10-13,Suzuki,Vitara
Suzuki Grand Vitara,2008.0,Benzīns/gāze,209100.0,Zila,Apvidus,4900.0,1.6,Manuāla,,2024-10-13,Suzuki,Grand Vitara
Hummer H2,2006.0,Benzīns/gāze,,Melna,Apvidus,23000.0,6.0,Automāts,,2024-10-13,Hummer,H2
Cita marka,2009.0,Benzīns/gāze,,Brūna,Minivens,6390.0,3.6,Automāts,,2024-10-13,Cita,marka
Isuzu Trooper,1990.0,Dīzelis,313096.0,Zila,-,500.0,2.8,Manuāla,,2024-10-13,Isuzu,Trooper
Uaz 3303,1991.0,Benzīns,72145.0,Zaļametālika,Pikaps,1800.0,2.4,Manuāla,,2024-10-13,Uaz,3303
Rover Range Rover,2016.0,Dīzelis,151000.0,Baltametālika,Apvidus,14900.0,2.0,Manuāla,6.0,2024-10-13,Rover,Range Rover
SsangYong Rexton,2015.0,Dīzelis,233600.0,Melna,Apvidus,8250.0,2.0,Automāts,,2024-10-13,SsangYong,Rexton
SsangYong Rexton,2008.0,Dīzelis,,Pelēka,Apvidus,3590.0,2.7,Automāts,,2024-10-13,SsangYong,Rexton
Cita marka,,,,,,,,,,2024-10-13,Cita,marka
Cita marka,,,,,,,,,,2024-10-13,Cita,marka
Uaz 3151,1986.0,Benzīns,30000.0,Zaļa,Apvidus,1700.0,2.4,Manuāla,4.0,2024-10-13,Uaz,3151
Cita marka,2008.0,Benzīns,43700.0,Zaļa,Apvidus,3990.0,1.7,Manuāla,5.0,2024-10-13,Cita,marka
SsangYong Rexton,2006.0,Dīzelis,209785.0,Sudraba,Apvidus,3200.0,2.7,Automāts,,2024-10-13,SsangYong,Rexton
Cita marka,2016.0,Benzīns,110000.0,Baltametālika,Sedans,8200.0,2.0,Automāts,,2024-10-13,Cita,marka
Lincoln Town Car,2004.0,Benzīns,290000.0,Balta,-,5500.0,4.6,Automāts,,2024-10-13,Lincoln,Town Car
Cita marka,1981.0,Benzīns,40000.0,Sarkana,-,5250.0,2.4,Manuāla,4.0,2024-10-13,Cita,marka
Rover 45,2005.0,Benzīns,200000.0,Gaiši,Sedans,1750.0,2.0,Automāts,,2024-10-13,Rover,45
Daihatsu MATERIA,2008.0,Benzīns,258002.0,Balta,Hečbeks,2995.0,1.5,Manuāla,,2024-10-13,Daihatsu,MATERIA
Cita marka,2024.0,,3244.0,Baltametālika,Hečbeks,26450.0,,Automāts,,2024-10-13,Cita,marka
SsangYong Rexton,2018.0,Dīzelis,91799.0,Zila,Apvidus,19800.0,2.2,Automāts,,2024-10-13,SsangYong,Rexton
Isuzu Pick Up,2014.0,Dīzelis,171000.0,Zaļa,Pikaps,11000.0,2.5,Automāts,,2024-10-13,Isuzu,Pick Up
Hummer H3,,,,,,,,,,2024-10-13,Hummer,H3
Cita marka,,,,,,50.0,,,,2024-10-13,Cita,marka
Lincoln Navigator,1998.0,Benzīns,128500.0,Balta,-,13999.0,5.4,Automāts,,2024-10-13,Lincoln,Navigator
Uaz 452,1968.0,Benzīns,9100.0,Zaļa,-,900.0,2.4,Manuāla,,2024-10-13,Uaz,452
Cita marka,,,,,,,,,,2024-10-13,Cita,marka
SsangYong Kyron,2006.0,Dīzelis,,Sudrabametālika,Apvidus,2399.0,2.0,Manuāla,5.0,2024-10-13,SsangYong,Kyron
Zaz 965,,,,,,,,,,2024-10-13,Zaz,965
Cita marka,1992.0,Dīzelis,350000.0,Zila,Universāls,8500.0,6.0,Manuāla,,2024-10-13,Cita,marka
Cita marka,2014.0,Benzīns,144000.0,Tumši,Apvidus,13600.0,3.5,Automāts,,2024-10-13,Cita,marka
Cita marka,1997.0,Benzīns,36156.0,Oranža,-,1800.0,1.0,Manuāla,5.0,2024-10-13,Cita,marka
Uaz 469,1984.0,Dīzelis,,Zaļa,Apvidus,2850.0,3.0,Manuāla,,2024-10-13,Uaz,469
Uaz 469,1970.0,Benzīns,389384.0,Zaļa,Apvidus,1199.0,2.5,Manuāla,,2024-10-13,Uaz,469
SsangYong Korando,2020.0,Benzīns,69000.0,Balta,Apvidus,16480.0,1.5,Automāts,6.0,2024-10-13,SsangYong,Korando
Zaz 968,1989.0,Benzīns,123456.0,Sarkana,Sedans,1300.0,1.2,Manuāla,4.0,2024-10-13,Zaz,968
Cita marka,2021.0,Hybrid,5727.0,Pelēkametālika,Pikaps,42000.0,1.5,Automāts,,2024-10-13,Cita,marka
Cita marka,2021.0,Hybrid,4765.0,Melnametālika,Mikroautobuss,47990.0,1.5,Automāts,,2024-10-13,Cita,marka
Cita marka,,Benzīns,,,Universāls,,2.4,Manuāla,,2024-10-13,Cita,marka
Cita marka,2022.0,Hybrid,,Melnametālika,Sedans,95000.0,2.0,Automāts,,2024-10-13,Cita,marka
Cita marka,2014.0,Benzīns,148000.0,Pelēkametālika,Sedans,19990.0,3.0,Automāts,,2024-10-13,Cita,marka
SsangYong Kyron,2007.0,Dīzelis,297651.0,Violeta,Apvidus,2007.0,2.7,Automāts,,2024-10-13,SsangYong,Kyron
Uaz 3303,1991.0,Benzīns,123456.0,Zaļa,Apvidus,1000.0,2.4,Manuāla,4.0,2024-10-13,Uaz,3303
Cita marka,1992.0,Benzīns,55000.0,,Apvidus,5750.0,2.7,Manuāla,,2024-10-13,Cita,marka
SsangYong Rexton,2018.0,Dīzelis,124000.0,Balta,Apvidus,18500.0,2.2,Automāts,,2024-10-13,SsangYong,Rexton
Zaz 968,1975.0,Benzīns,29648.0,Balta,Kupeja,450.0,1.2,Manuāla,,2024-10-13,Zaz,968
Zaz 965,1966.0,Benzīns,20000.0,Sarkana,Hečbeks,850.0,0.9,Manuāla,,2024-10-13,Zaz,965
Cita marka,1995.0,Benzīns,127000.0,Gaiši,Kupeja,7900.0,3.8,Automāts,,2024-10-13,Cita,marka
Cita marka,2023.0,,13343.0,Baltametālika,Hečbeks,22900.0,,Automāts,,2024-10-13,Cita,marka
Cita marka,1981.0,Benzīns,85000.0,Sarkana,Mikroautobuss,1981.0,2.4,Manuāla,,2024-10-13,Cita,marka
Cita marka,2006.0,Dīzelis,,Sarkana,Mikroautobuss,5999.0,3.0,Manuāla,6.0,2024-10-13,Cita,marka
Uaz 469,1977.0,Benzīns,295000.0,Zaļa,-,1500.0,2.4,Manuāla,,2024-10-13,Uaz,469
